,created_in_file,last_appeared_in_file,created_in_line,last_appeared_in_line,created_in_commit,deleted_in_commit,created_at_date,deleted_at_date,content,deleted_in_lines,created_in_lines,updated_in_commits
0,src/test/org/apache/commons/math/UnivariateImplTest.java,src/test/org/apache/commons/math/UnivariateImplTest.java,200,235,b84e61ffcf873ef8d588ca3adce2bcd3c7406905,429a652114f94bf81e97a7737f1b3ea63fb3de91,2003-05-23 17:33:18+00:00,2003-05-29 23:25:12+00:00,//FiXME: test all other NaN contract specs,,,
1,src/java/org/apache/commons/math/Univariate.java,src/java/org/apache/commons/math/Univariate.java,141,141,e4694325bc52209c0700294437d4e260991e9f82,97568dc06f50372c16e333e4c8367f845758470a,2003-05-12 19:04:38+00:00,2003-05-15 05:39:01+00:00,// FIXME: throw something meaningful if n = 0,,,
2,src/java/org/apache/commons/math/Univariate.java,src/java/org/apache/commons/math/Univariate.java,151,151,e4694325bc52209c0700294437d4e260991e9f82,97568dc06f50372c16e333e4c8367f845758470a,2003-05-12 19:04:38+00:00,2003-05-15 05:39:01+00:00,// FIXME: throw something meaningful if n = 0,,,
3,src/java/org/apache/commons/math/Univariate.java,src/java/org/apache/commons/math/Univariate.java,160,160,e4694325bc52209c0700294437d4e260991e9f82,97568dc06f50372c16e333e4c8367f845758470a,2003-05-12 19:04:38+00:00,2003-05-15 05:39:01+00:00,// FIXME: throw something meaningful if n = 0,,,
4,src/java/org/apache/commons/math/UnivariateImpl.java,src/java/org/apache/commons/math/UnivariateImpl.java,104,125,97568dc06f50372c16e333e4c8367f845758470a,b84e61ffcf873ef8d588ca3adce2bcd3c7406905,2003-05-15 05:39:01+00:00,2003-05-23 17:33:18+00:00,// FIXME: throw something meaningful if n = 0,,,
5,src/java/org/apache/commons/math/UnivariateImpl.java,src/java/org/apache/commons/math/UnivariateImpl.java,162,201,71dfdabde1f5e9f0def1d2035822518b43e70587,b84e61ffcf873ef8d588ca3adce2bcd3c7406905,2003-05-16 05:23:29+00:00,2003-05-23 17:33:18+00:00,"// TODO: The next two lines seems rather expensive, but
// TODO: The next two lines seems rather expensive, but",[172],[173],['437e275a504d5d2de36365419e048ad9a05d83df']
6,src/java/org/apache/commons/math/UnivariateFunction.java,src/java/org/apache/commons/math/analysis/UnivariateFunction.java,60,60,703fbafa34601e0689430d4d45ab53aac9eb73c7,2ab38de23239bacee1c924c325179968b5ac0f4a,2003-05-29 19:34:38+00:00,2003-07-11 15:59:14+00:00,// TODO: More documentation,,,
7,src/java/org/apache/commons/math/analysis/UnivariateFunction.java,src/java/org/apache/commons/math/analysis/UnivariateFunction.java,60,60,b3a6a6b3b5b269cf6ccab91588c320d925dac9ae,14bbddbc4ccd05c028a07f2be0cf3cb4e967cc4c,2003-11-14 22:25:28+00:00,2003-11-15 18:56:16+00:00,// TODO: More documentation,,,
8,src/java/org/apache/commons/math/ExpandableDoubleArray.java,src/java/org/apache/commons/math/util/ExpandableDoubleArray.java,96,95,246d50aa44f8679390023f4a5552de9836eb4f1d,e389289e779612c5930d7c292bbbc94027695ae5,2003-05-21 06:24:30+00:00,2003-11-01 16:09:22+00:00,"// TODO: expansionFactor is valuable, by if I only need storage",,,
9,src/java/org/apache/commons/math/util/ExpandableDoubleArray.java,src/java/org/apache/commons/math/util/ExpandableDoubleArray.java,95,60,b3a6a6b3b5b269cf6ccab91588c320d925dac9ae,45224a8ead4295f0941720322a744b5f5318506a,2003-11-14 22:25:28+00:00,2004-06-14 21:41:33+00:00,"// TODO: expansionFactor is valuable, by if I only need storage",,,
10,src/java/org/apache/commons/math/FixedDoubleArray.java,src/java/org/apache/commons/math/util/FixedDoubleArray.java,168,336,d6f7028269df96a72cccf7b72a41b89aaa820e9f,0fd2f5fd11cc138ab373a2bbd29a5c465f12e601,2003-05-17 23:24:21+00:00,2003-07-05 18:13:35+00:00,"// TODO: AH! implemented there is not concept of ""front""
// TODO: AH! implemented there is not concept of ""front""",[168],[172],['437e275a504d5d2de36365419e048ad9a05d83df']
11,src/java/org/apache/commons/math/analysis/CubicSplineFunction.java,src/java/org/apache/commons/math/analysis/CubicSplineFunction.java,84,91,a235488095cc73e661c1bc817d54f8b7aa12ef39,e389289e779612c5930d7c292bbbc94027695ae5,2003-06-25 01:29:18+00:00,2003-11-01 16:09:22+00:00,"// TODO: should copy the arguments here, for safety. This could be a major overhead.",,,
12,src/java/org/apache/commons/math/analysis/CubicSplineFunction.java,src/java/org/apache/commons/math/analysis/CubicSplineFunction.java,91,54,b3a6a6b3b5b269cf6ccab91588c320d925dac9ae,5f543b9e930b56844f5a5627f9ed24242509d154,2003-11-14 22:25:28+00:00,2004-04-02 21:39:21+00:00,"// TODO: should copy the arguments here, for safety. This could be a major overhead.",,,
13,src/java/org/apache/commons/math/BeanListUnivariateImpl.java,src/java/org/apache/commons/math/stat/BeanListUnivariateImpl.java,128,126,c9fc45757a05ff6816ce8e1baa46fe62d6a0f5ae,7c808d90714c6b80d902f7b50d2a1dafb65ddf11,2003-05-29 19:41:32+00:00,2003-07-09 21:46:33+00:00,// TODO: We could use a better strategy for error handling,,,
14,src/experimental/org/apache/commons/math/function/DefaultContext.java,src/experimental/org/apache/commons/math/function/DefaultContext.java,69,32,4683ebbf939a0f49f919b2166be963c88f535bf9,b24f72809bfdc17ac7e9dd4114208f36b319ea80,2003-11-20 04:22:17+00:00,2010-03-27 20:00:19+00:00,// TODO Auto-generated constructor stub,,,
15,src/experimental/org/apache/commons/math/function/DefaultContext.java,src/experimental/org/apache/commons/math/function/DefaultContext.java,76,39,4683ebbf939a0f49f919b2166be963c88f535bf9,b24f72809bfdc17ac7e9dd4114208f36b319ea80,2003-11-20 04:22:17+00:00,2010-03-27 20:00:19+00:00,// TODO Auto-generated method stub,,,
16,src/experimental/org/apache/commons/math/function/DefaultContext.java,src/experimental/org/apache/commons/math/function/DefaultContext.java,84,47,4683ebbf939a0f49f919b2166be963c88f535bf9,b24f72809bfdc17ac7e9dd4114208f36b319ea80,2003-11-20 04:22:17+00:00,2010-03-27 20:00:19+00:00,// TODO Auto-generated method stub,,,
17,src/experimental/org/apache/commons/math/function/DefaultContext.java,src/experimental/org/apache/commons/math/function/DefaultContext.java,92,55,4683ebbf939a0f49f919b2166be963c88f535bf9,b24f72809bfdc17ac7e9dd4114208f36b319ea80,2003-11-20 04:22:17+00:00,2010-03-27 20:00:19+00:00,// TODO Auto-generated method stub,,,
18,src/experimental/org/apache/commons/math/function/DefaultContext.java,src/experimental/org/apache/commons/math/function/DefaultContext.java,100,63,4683ebbf939a0f49f919b2166be963c88f535bf9,b24f72809bfdc17ac7e9dd4114208f36b319ea80,2003-11-20 04:22:17+00:00,2010-03-27 20:00:19+00:00,// TODO Auto-generated method stub,,,
19,src/experimental/org/apache/commons/math/function/DefaultContext.java,src/experimental/org/apache/commons/math/function/DefaultContext.java,108,71,4683ebbf939a0f49f919b2166be963c88f535bf9,b24f72809bfdc17ac7e9dd4114208f36b319ea80,2003-11-20 04:22:17+00:00,2010-03-27 20:00:19+00:00,// TODO Auto-generated method stub,,,
20,src/experimental/org/apache/commons/math/function/DefaultContext.java,src/experimental/org/apache/commons/math/function/DefaultContext.java,116,79,4683ebbf939a0f49f919b2166be963c88f535bf9,b24f72809bfdc17ac7e9dd4114208f36b319ea80,2003-11-20 04:22:17+00:00,2010-03-27 20:00:19+00:00,// TODO Auto-generated method stub,,,
21,src/experimental/org/apache/commons/math/function/DefaultContext.java,src/experimental/org/apache/commons/math/function/DefaultContext.java,124,87,4683ebbf939a0f49f919b2166be963c88f535bf9,b24f72809bfdc17ac7e9dd4114208f36b319ea80,2003-11-20 04:22:17+00:00,2010-03-27 20:00:19+00:00,// TODO Auto-generated method stub,,,
22,src/experimental/org/apache/commons/math/function/DefaultContext.java,src/experimental/org/apache/commons/math/function/DefaultContext.java,132,95,4683ebbf939a0f49f919b2166be963c88f535bf9,b24f72809bfdc17ac7e9dd4114208f36b319ea80,2003-11-20 04:22:17+00:00,2010-03-27 20:00:19+00:00,// TODO Auto-generated method stub,,,
23,src/experimental/org/apache/commons/math/function/DefaultContext.java,src/experimental/org/apache/commons/math/function/DefaultContext.java,140,103,4683ebbf939a0f49f919b2166be963c88f535bf9,b24f72809bfdc17ac7e9dd4114208f36b319ea80,2003-11-20 04:22:17+00:00,2010-03-27 20:00:19+00:00,// TODO Auto-generated method stub,,,
24,src/experimental/org/apache/commons/math/function/DefaultContext.java,src/experimental/org/apache/commons/math/function/DefaultContext.java,148,111,4683ebbf939a0f49f919b2166be963c88f535bf9,b24f72809bfdc17ac7e9dd4114208f36b319ea80,2003-11-20 04:22:17+00:00,2010-03-27 20:00:19+00:00,// TODO Auto-generated method stub,,,
25,src/experimental/org/apache/commons/math/function/DefaultContext.java,src/experimental/org/apache/commons/math/function/DefaultContext.java,156,119,4683ebbf939a0f49f919b2166be963c88f535bf9,b24f72809bfdc17ac7e9dd4114208f36b319ea80,2003-11-20 04:22:17+00:00,2010-03-27 20:00:19+00:00,// TODO Auto-generated method stub,,,
26,src/experimental/org/apache/commons/math/function/DefaultContext.java,src/experimental/org/apache/commons/math/function/DefaultContext.java,164,127,4683ebbf939a0f49f919b2166be963c88f535bf9,b24f72809bfdc17ac7e9dd4114208f36b319ea80,2003-11-20 04:22:17+00:00,2010-03-27 20:00:19+00:00,// TODO Auto-generated method stub,,,
27,src/experimental/org/apache/commons/math/function/DefaultContext.java,src/experimental/org/apache/commons/math/function/DefaultContext.java,177,140,4683ebbf939a0f49f919b2166be963c88f535bf9,b24f72809bfdc17ac7e9dd4114208f36b319ea80,2003-11-20 04:22:17+00:00,2010-03-27 20:00:19+00:00,// TODO Auto-generated constructor stub,,,
28,src/experimental/org/apache/commons/math/function/DefaultContext.java,src/experimental/org/apache/commons/math/function/DefaultContext.java,212,175,4683ebbf939a0f49f919b2166be963c88f535bf9,b24f72809bfdc17ac7e9dd4114208f36b319ea80,2003-11-20 04:22:17+00:00,2010-03-27 20:00:19+00:00,// TODO Auto-generated method stub,,,
29,src/experimental/org/apache/commons/math/function/DefaultContext.java,src/experimental/org/apache/commons/math/function/DefaultContext.java,220,183,4683ebbf939a0f49f919b2166be963c88f535bf9,b24f72809bfdc17ac7e9dd4114208f36b319ea80,2003-11-20 04:22:17+00:00,2010-03-27 20:00:19+00:00,// TODO Auto-generated method stub,,,
