,created_in_file,last_appeared_in_file,lastfile_deleted_in_commit,created_in_line,last_appeared_in_line,created_in_commit,deleted_in_commit,created_at_date,deleted_at_date,content,deleted_in_lines,created_in_lines,updated_in_commits
0,src/test/org/apache/commons/math/UnivariateImplTest.java,src/test/org/apache/commons/math/UnivariateImplTest.java,,200,235,b84e61ffcf873ef8d588ca3adce2bcd3c7406905,429a652114f94bf81e97a7737f1b3ea63fb3de91,2003-05-23 17:33:18+00:00,2003-05-29 23:25:12+00:00,//FiXME: test all other NaN contract specs,,,
1,src/java/org/apache/commons/math/Univariate.java,src/java/org/apache/commons/math/stat/Univariate.java,,141,141,e4694325bc52209c0700294437d4e260991e9f82,97568dc06f50372c16e333e4c8367f845758470a,2003-05-12 19:04:38+00:00,2003-05-15 05:39:01+00:00,// FIXME: throw something meaningful if n = 0,,,
2,src/java/org/apache/commons/math/Univariate.java,src/java/org/apache/commons/math/stat/Univariate.java,,151,151,e4694325bc52209c0700294437d4e260991e9f82,97568dc06f50372c16e333e4c8367f845758470a,2003-05-12 19:04:38+00:00,2003-05-15 05:39:01+00:00,// FIXME: throw something meaningful if n = 0,,,
3,src/java/org/apache/commons/math/Univariate.java,src/java/org/apache/commons/math/stat/Univariate.java,,160,160,e4694325bc52209c0700294437d4e260991e9f82,97568dc06f50372c16e333e4c8367f845758470a,2003-05-12 19:04:38+00:00,2003-05-15 05:39:01+00:00,// FIXME: throw something meaningful if n = 0,,,
4,src/java/org/apache/commons/math/UnivariateImpl.java,src/java/org/apache/commons/math/stat/UnivariateImpl.java,,104,125,97568dc06f50372c16e333e4c8367f845758470a,b84e61ffcf873ef8d588ca3adce2bcd3c7406905,2003-05-15 05:39:01+00:00,2003-05-23 17:33:18+00:00,// FIXME: throw something meaningful if n = 0,,,
5,src/java/org/apache/commons/math/UnivariateImpl.java,src/java/org/apache/commons/math/stat/UnivariateImpl.java,,162,201,71dfdabde1f5e9f0def1d2035822518b43e70587,b84e61ffcf873ef8d588ca3adce2bcd3c7406905,2003-05-16 05:23:29+00:00,2003-05-23 17:33:18+00:00,"// TODO: The next two lines seems rather expensive, but
// TODO: The next two lines seems rather expensive, but",[172],[173],['437e275a504d5d2de36365419e048ad9a05d83df']
6,src/java/org/apache/commons/math/UnivariateFunction.java,src/java/org/apache/commons/math/analysis/UnivariateFunction.java,,60,60,703fbafa34601e0689430d4d45ab53aac9eb73c7,2ab38de23239bacee1c924c325179968b5ac0f4a,2003-05-29 19:34:38+00:00,2003-07-11 15:59:14+00:00,// TODO: More documentation,,,
7,src/java/org/apache/commons/math/analysis/UnivariateFunction.java,src/java/org/apache/commons/math/analysis/UnivariateFunction.java,,60,60,b3a6a6b3b5b269cf6ccab91588c320d925dac9ae,14bbddbc4ccd05c028a07f2be0cf3cb4e967cc4c,2003-11-14 22:25:28+00:00,2003-11-15 18:56:16+00:00,// TODO: More documentation,,,
8,src/java/org/apache/commons/math/ExpandableDoubleArray.java,src/java/org/apache/commons/math/util/ExpandableDoubleArray.java,,96,95,246d50aa44f8679390023f4a5552de9836eb4f1d,e389289e779612c5930d7c292bbbc94027695ae5,2003-05-21 06:24:30+00:00,2003-11-01 16:09:22+00:00,"// TODO: expansionFactor is valuable, by if I only need storage",,,
9,src/java/org/apache/commons/math/util/ExpandableDoubleArray.java,src/java/org/apache/commons/math/util/ExpandableDoubleArray.java,,95,60,b3a6a6b3b5b269cf6ccab91588c320d925dac9ae,45224a8ead4295f0941720322a744b5f5318506a,2003-11-14 22:25:28+00:00,2004-06-14 21:41:33+00:00,"// TODO: expansionFactor is valuable, by if I only need storage",,,
